"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Average price All property types","Percentage change (monthly) All property types","Percentage change (yearly) All property types","House price index Detached houses","Average price Detached houses","Percentage change (monthly) Detached houses","Percentage change (yearly) Detached houses","House price index Semi-detached houses","Average price Semi-detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (yearly) Semi-detached houses","House price index Terraced houses","Average price Terraced houses","Percentage change (monthly) Terraced houses","Percentage change (yearly) Terraced houses","House price index Flats and maisonettes","Average price Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-01,11333,monthly,24.5,139611,1.9,23.4,26.2,307616,5.9,24.0,23.9,171177,3.9,22.8,22.1,139849,2.5,23.7,26.0,119775,0.4,23.3,2000-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-02,11414,monthly,24.9,142068,1.8,26.1,26.0,306320,-0.4,24.1,23.9,171154,0.0,23.2,22.4,141900,1.5,26.1,26.7,123025,2.7,27.1,2000-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-03,14645,monthly,25.2,143760,1.2,25.0,26.5,311588,1.7,25.0,24.4,174302,1.8,23.8,22.8,144360,1.7,25.6,26.8,123751,0.6,25.0,2000-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-04,12667,monthly,26.4,150595,4.8,28.3,27.4,321811,3.3,26.4,25.2,180306,3.4,25.6,23.7,149504,3.6,26.4,28.5,131287,6.1,30.7,2000-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-05,13099,monthly,26.4,150800,0.1,26.7,27.7,325888,1.3,28.2,25.6,182952,1.5,26.5,23.8,150316,0.5,25.8,28.3,130444,-0.6,27.0,2000-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-06,14270,monthly,26.9,153669,1.9,26.7,27.8,327097,0.4,24.3,25.9,185296,1.3,24.9,24.2,152694,1.6,25.0,29.0,133633,2.4,28.5,2000-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-07,13278,monthly,27.4,156545,1.9,24.9,29.1,342690,4.8,25.5,26.5,189774,2.4,24.5,24.7,156115,2.2,23.6,29.3,135255,1.2,25.9,2000-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-08,12690,monthly,27.6,157676,0.7,23.4,29.0,341451,-0.4,23.6,26.7,190717,0.5,23.2,24.6,155677,-0.3,20.9,29.8,137349,1.5,25.0,2000-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-09,11521,monthly,27.6,157710,0.0,20.1,29.3,344615,0.9,20.9,26.5,189735,-0.5,20.2,24.7,156065,0.2,19.2,29.8,137303,0.0,20.4,2000-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-10,11068,monthly,27.3,155900,-1.1,18.4,29.3,344661,0.0,20.3,26.7,191134,0.7,19.3,24.4,154300,-1.1,17.6,29.2,134766,-1.8,18.3,2000-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-11,11301,monthly,27.7,158085,1.4,17.4,29.2,343998,-0.2,17.6,26.4,189109,-1.1,15.6,24.5,155005,0.5,14.9,30.1,138756,3.0,19.5,2000-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-12,11983,monthly,27.7,157888,-0.1,15.3,28.6,336718,-2.1,15.9,26.4,188902,-0.1,14.7,24.6,155340,0.2,13.8,30.0,138512,-0.2,16.1,2000-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-01,10315,monthly,28.0,160094,1.4,14.7,29.2,343412,2.0,11.6,26.8,191802,1.5,12.0,25.1,158395,2.0,13.3,30.3,139803,0.9,16.7,2001-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-02,9963,monthly,28.1,160344,0.2,12.9,29.5,346896,1.0,13.2,27.1,193713,1.0,13.2,25.2,159108,0.5,12.1,30.2,139205,-0.4,13.2,2001-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-03,12882,monthly,28.3,161591,0.8,12.4,29.1,342223,-1.3,9.8,27.0,193115,-0.3,10.8,25.3,159886,0.5,10.8,30.6,141390,1.6,14.3,2001-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-04,12330,monthly,28.7,163651,1.3,8.7,29.6,347672,1.6,8.0,27.2,194532,0.7,7.9,25.7,162433,1.6,8.6,31.0,143096,1.2,9.0,2001-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-05,13965,monthly,29.5,168244,2.8,11.6,29.8,350473,0.8,7.5,27.8,198845,2.2,8.7,26.4,166727,2.6,10.9,32.0,147841,3.3,13.3,2001-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-06,15564,monthly,29.8,169961,1.0,10.6,30.0,352465,0.6,7.8,28.0,200505,0.8,8.2,26.5,167204,0.3,9.5,32.6,150303,1.7,12.5,2001-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-07,16048,monthly,30.2,172490,1.5,10.2,31.4,369058,4.7,7.7,28.9,206508,3.0,8.8,27.0,170683,2.1,9.3,32.7,150686,0.3,11.4,2001-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-08,17306,monthly,30.9,176243,2.2,11.8,31.7,373172,1.1,9.3,29.2,208865,1.1,9.5,27.6,174336,2.1,12.0,33.5,154702,2.7,12.6,2001-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-09,13820,monthly,30.9,176449,0.1,11.9,32.0,376737,1.0,9.3,29.3,209857,0.5,10.6,27.6,174490,0.1,11.8,33.5,154603,-0.1,12.6,2001-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-10,14320,monthly,31.2,177915,0.8,14.1,32.4,381376,1.2,10.7,29.8,213154,1.6,11.5,27.9,176280,1.0,14.2,33.6,155212,0.4,15.2,2001-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-11,14294,monthly,31.4,179011,0.6,13.2,32.2,379348,-0.5,10.3,29.9,213970,0.4,13.1,27.9,176329,0.0,13.8,34.1,157127,1.2,13.2,2001-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-12,11937,monthly,31.4,179524,0.3,13.7,31.7,372958,-1.7,10.8,29.7,212540,-0.7,12.5,27.8,175456,-0.5,12.9,34.5,159294,1.4,15.0,2001-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-01,10337,monthly,31.9,181823,1.3,13.6,32.8,385946,3.5,12.4,30.5,218064,2.6,13.7,28.3,178808,1.9,12.9,34.6,159571,0.2,14.1,2002-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-02,10786,monthly,32.0,182531,0.4,13.8,32.3,380464,-1.4,9.7,30.3,216570,-0.7,11.8,28.5,180203,0.8,13.3,34.8,160609,0.7,15.4,2002-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-03,13747,monthly,32.4,184937,1.3,14.4,32.7,385151,1.2,12.5,30.7,219348,1.3,13.6,28.8,182211,1.1,14.0,35.3,162997,1.5,15.3,2002-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-04,14025,monthly,33.4,190791,3.2,16.6,33.5,394035,2.3,13.3,31.4,224656,2.4,15.5,29.5,186638,2.4,14.9,36.8,169594,4.0,18.5,2002-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-05,17735,monthly,34.3,195703,2.6,16.3,34.2,402368,2.1,14.8,32.4,231576,3.1,16.5,30.4,192294,3.0,15.3,37.5,173169,2.1,17.1,2002-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-06,14368,monthly,34.9,199164,1.8,17.2,34.4,404775,0.6,14.8,32.5,232352,0.3,15.9,30.9,195040,1.4,16.6,38.5,177731,2.6,18.2,2002-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-07,18061,monthly,35.8,204649,2.8,18.6,36.3,426860,5.5,15.7,33.9,242058,4.2,17.2,32.0,202102,3.6,18.4,39.1,180217,1.4,19.6,2002-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-08,17567,monthly,36.6,209114,2.2,18.7,36.7,432074,1.2,15.8,34.6,247531,2.3,18.5,32.7,206920,2.4,18.7,39.9,183990,2.1,18.9,2002-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-09,15091,monthly,37.0,210947,0.9,19.6,37.2,437036,1.1,16.0,35.1,251090,1.4,19.6,33.0,208315,0.7,19.4,40.2,185466,0.8,20.0,2002-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-10,14509,monthly,37.3,213139,1.0,19.8,37.7,443058,1.4,16.2,35.7,255604,1.8,19.9,33.3,210794,1.2,19.6,40.5,186640,0.6,20.2,2002-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-11,14324,monthly,38.0,216816,1.7,21.1,38.4,451612,1.9,19.0,36.0,257512,0.7,20.3,33.8,213560,1.3,21.1,41.4,191037,2.4,21.6,2002-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-12,13443,monthly,38.2,217791,0.4,21.3,38.0,446637,-1.1,19.8,36.5,261152,1.4,22.9,34.0,214876,0.6,22.5,41.5,191288,0.1,20.1,2002-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-01,11365,monthly,38.8,221778,1.8,22.0,39.0,458870,2.7,18.9,36.9,263514,0.9,20.8,35.0,221032,2.9,23.6,42.0,193835,1.3,21.5,2003-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-02,10320,monthly,38.7,221031,-0.3,21.1,38.6,454321,-1.0,19.4,37.1,265542,0.8,22.6,34.6,218924,-1.0,21.5,41.9,193416,-0.2,20.4,2003-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-03,10600,monthly,38.6,220077,-0.4,19.0,38.7,454656,0.1,18.0,36.9,263973,-0.6,20.3,34.6,218515,-0.2,19.9,41.7,192259,-0.6,18.0,2003-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-04,10380,monthly,39.0,222625,1.2,16.7,38.7,455349,0.2,15.6,37.3,267059,1.2,18.9,34.8,220024,0.7,17.9,42.3,195308,1.6,15.2,2003-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-05,11169,monthly,39.5,225440,1.3,15.2,39.0,458685,0.7,14.0,37.9,270667,1.4,16.9,35.6,225079,2.3,17.0,42.6,196358,0.5,13.4,2003-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-06,11990,monthly,39.2,223682,-0.8,12.3,38.9,457247,-0.3,13.0,37.5,268247,-0.9,15.4,35.1,221962,-1.4,13.8,42.4,195692,-0.3,10.1,2003-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-07,13468,monthly,40.1,228891,2.3,11.8,39.7,466867,2.1,9.4,38.5,275321,2.6,13.7,36.1,228419,2.9,13.0,43.2,199256,1.8,10.6,2003-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-08,14417,monthly,39.9,227698,-0.5,8.9,39.4,463942,-0.6,7.4,38.3,273684,-0.6,10.6,36.0,227725,-0.3,10.1,42.9,197974,-0.6,7.6,2003-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-09,14741,monthly,39.9,227921,0.1,8.0,39.9,469426,1.2,7.4,38.5,275363,0.6,9.7,36.1,228156,0.2,9.5,42.8,197488,-0.2,6.5,2003-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-10,15741,monthly,40.2,229749,0.8,7.8,39.8,468201,-0.3,5.7,38.7,276703,0.5,8.3,36.4,230162,0.9,9.2,43.2,199369,1.0,6.8,2003-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-11,14754,monthly,40.4,230764,0.4,6.4,39.6,465490,-0.6,3.1,38.7,276628,0.0,7.4,36.6,231420,0.5,8.4,43.5,200613,0.6,5.0,2003-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-12,14839,monthly,40.7,232279,0.7,6.7,39.2,460747,-1.0,3.2,38.8,277213,0.2,6.2,36.6,231588,0.1,7.8,44.1,203409,1.4,6.3,2003-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-01,12767,monthly,41.0,234296,0.9,5.6,40.4,475517,3.2,3.6,39.3,280786,1.3,6.6,37.1,234707,1.3,6.2,44.2,203752,0.2,5.1,2004-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-02,12160,monthly,41.2,235311,0.4,6.5,40.5,476220,0.1,4.8,39.5,282599,0.6,6.4,37.5,236771,0.9,8.2,44.2,203962,0.1,5.5,2004-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-03,14409,monthly,41.5,236939,0.7,7.7,40.2,473100,-0.7,4.1,39.3,280839,-0.6,6.4,37.6,237935,0.5,8.9,44.8,206693,1.3,7.5,2004-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-04,14873,monthly,42.4,241798,2.1,8.6,40.5,476870,0.8,4.7,40.3,288327,2.7,8.0,38.7,244420,2.7,11.1,45.5,209844,1.5,7.4,2004-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-05,13613,monthly,42.6,243369,0.6,8.0,40.0,470979,-1.2,2.7,40.4,289030,0.2,6.8,38.8,245266,0.3,9.0,46.0,212191,1.1,8.1,2004-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-06,16163,monthly,43.2,246395,1.2,10.2,40.8,479831,1.9,4.9,40.8,291658,0.9,8.7,39.1,247185,0.8,11.4,46.7,215579,1.6,10.2,2004-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-07,17612,monthly,43.9,250378,1.6,9.4,41.7,489954,2.1,4.9,41.7,298436,2.3,8.4,40.1,253460,2.5,11.0,47.1,217245,0.8,9.0,2004-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-08,15020,monthly,44.0,251404,0.4,10.4,42.2,495890,1.2,6.9,41.8,298713,0.1,9.1,40.2,254269,0.3,11.7,47.3,218345,0.5,10.3,2004-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-09,13500,monthly,43.9,250652,-0.3,10.0,42.0,494405,-0.3,5.3,41.7,298201,-0.2,8.3,40.1,253700,-0.2,11.2,47.1,217501,-0.4,10.1,2004-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-10,12031,monthly,43.6,248676,-0.8,8.2,41.7,491049,-0.7,4.9,41.5,296494,-0.6,7.2,39.8,251684,-0.8,9.4,46.7,215629,-0.9,8.2,2004-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-11,10790,monthly,44.0,251278,1.0,8.9,41.8,491844,0.2,5.7,41.7,297927,0.5,7.7,40.1,253498,0.7,9.5,47.4,218866,1.5,9.1,2004-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-12,10859,monthly,43.2,246425,-1.9,6.1,41.1,483169,-1.8,4.9,40.9,292276,-1.9,5.4,39.4,248945,-1.8,7.5,46.5,214397,-2.0,5.4,2004-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-01,8020,monthly,43.6,248820,1.0,6.2,41.7,490701,1.6,3.2,41.2,294327,0.7,4.8,39.9,252251,1.3,7.5,46.8,216077,0.8,6.0,2005-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-02,7829,monthly,43.4,247642,-0.5,5.2,41.2,484700,-1.2,1.8,41.0,293402,-0.3,3.8,39.7,250786,-0.6,5.9,46.6,215219,-0.4,5.5,2005-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-03,9361,monthly,43.4,247580,0.0,4.5,41.0,481820,-0.6,1.8,40.9,292114,-0.4,4.0,39.8,251375,0.2,5.6,46.6,215180,0.0,4.1,2005-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-04,10290,monthly,44.1,251973,1.8,4.2,41.2,485188,0.7,1.7,41.5,296917,1.6,3.0,40.5,256312,2.0,4.9,47.5,219004,1.8,4.4,2005-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-05,10649,monthly,44.2,252313,0.1,3.7,41.7,490428,1.1,4.1,41.7,298391,0.5,3.2,40.5,255929,-0.1,4.3,47.5,219295,0.1,3.3,2005-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-06,12308,monthly,44.2,252542,0.1,2.5,41.2,485026,-1.1,1.1,41.6,297537,-0.3,2.0,40.8,258092,0.8,4.4,47.4,218902,-0.2,1.5,2005-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-07,13536,monthly,44.6,254654,0.8,1.7,41.8,491786,1.4,0.4,42.1,301085,1.2,0.9,41.1,259582,0.6,2.4,47.8,220760,0.8,1.6,2005-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-08,13208,monthly,44.6,254761,0.0,1.3,41.9,492503,0.1,-0.7,41.8,298656,-0.8,0.0,41.1,259514,0.0,2.1,48.0,221515,0.3,1.5,2005-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-09,13541,monthly,44.4,253631,-0.4,1.2,42.0,494452,0.4,0.0,42.0,300412,0.6,0.7,41.1,259672,0.1,2.4,47.5,218981,-1.1,0.7,2005-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-10,12382,monthly,43.9,250828,-1.1,0.9,41.2,484912,-1.9,-1.2,41.4,296154,-1.4,-0.1,40.5,256177,-1.3,1.8,47.1,217250,-0.8,0.8,2005-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-11,12568,monthly,44.4,253251,1.0,0.8,41.5,487652,0.6,-0.9,41.7,298285,0.7,0.1,40.9,258770,1.0,2.1,47.6,219518,1.0,0.3,2005-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-12,13144,monthly,44.7,255195,0.8,3.6,40.9,480546,-1.5,-0.5,41.3,295301,-1.0,1.0,41.0,259416,0.2,4.2,48.5,223534,1.8,4.3,2005-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-01,10862,monthly,45.0,256767,0.6,3.2,42.3,497065,3.4,1.3,42.2,301750,2.2,2.5,41.5,262575,1.2,4.1,48.2,222515,-0.5,3.0,2006-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-02,10885,monthly,44.8,255985,-0.3,3.4,41.8,491172,-1.2,1.3,42.0,300017,-0.6,2.3,41.3,260803,-0.7,4.0,48.3,222711,0.1,3.5,2006-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-03,13982,monthly,45.3,258410,0.9,4.4,42.3,497143,1.2,3.2,42.3,302232,0.7,3.5,41.8,264034,1.2,5.0,48.7,224509,0.8,4.3,2006-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-04,11953,monthly,46.0,262793,1.7,4.3,42.4,498605,0.3,2.8,42.9,306521,1.4,3.2,42.5,268844,1.8,4.9,49.5,228601,1.8,4.4,2006-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-05,13349,monthly,46.4,265059,0.9,5.1,42.8,504008,1.1,2.8,43.1,308173,0.5,3.3,42.7,270229,0.5,5.6,50.1,231261,1.2,5.5,2006-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-06,16075,monthly,47.1,269156,1.5,6.6,43.4,510081,1.2,5.2,43.6,311776,1.2,4.8,43.6,275364,1.9,6.7,50.9,234659,1.5,7.2,2006-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-07,16182,monthly,47.6,271795,1.0,6.7,44.0,518026,1.6,5.3,44.3,316872,1.6,5.2,44.3,279964,1.7,7.9,51.0,235360,0.3,6.6,2006-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-08,16833,monthly,48.1,274815,1.1,7.9,44.5,523904,1.1,6.4,44.7,319659,0.9,7.0,44.6,282171,0.8,8.7,51.7,238620,1.4,7.7,2006-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-09,15674,monthly,48.3,275712,0.3,8.7,45.0,528981,1.0,7.0,44.9,320935,0.4,6.8,44.6,282071,0.0,8.6,52.0,239759,0.5,9.5,2006-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-10,15193,monthly,48.6,277396,0.6,10.6,45.0,529009,0.0,9.1,45.0,322050,0.3,8.7,44.9,283598,0.5,10.7,52.4,241649,0.8,11.2,2006-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-11,15230,monthly,48.5,277074,-0.1,9.4,45.1,530848,0.3,8.9,45.2,323545,0.5,8.5,45.0,284579,0.3,10.0,52.1,240141,-0.6,9.4,2006-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-12,15232,monthly,49.6,283155,2.2,11.0,45.7,537831,1.3,11.9,45.8,327484,1.2,10.9,45.8,289599,1.8,11.6,53.5,246983,2.8,10.5,2006-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-01,12794,monthly,50.2,286542,1.2,11.6,46.2,543539,1.1,9.3,46.3,330765,1.0,9.6,46.4,293575,1.4,11.8,54.2,249842,1.2,12.3,2007-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-02,12194,monthly,50.8,289884,1.2,13.2,46.7,549292,1.1,11.8,46.7,333952,1.0,11.3,46.6,294448,0.3,12.9,55.1,254179,1.7,14.1,2007-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-03,14546,monthly,51.3,292774,1.0,13.3,47.1,554563,1.0,11.6,47.1,336813,0.9,11.4,47.5,299964,1.9,13.6,55.4,255550,0.5,13.8,2007-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-04,12568,monthly,52.3,298476,1.9,13.6,47.7,561193,1.2,12.6,47.9,342352,1.6,11.7,48.6,307052,2.4,14.2,56.4,260296,1.9,13.9,2007-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-05,14059,monthly,53.0,302673,1.4,14.2,48.0,564154,0.5,11.9,48.4,345742,1.0,12.2,48.9,309007,0.6,14.4,57.6,265616,2.0,14.9,2007-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-06,15799,monthly,53.6,306133,1.1,13.7,48.9,574747,1.9,12.7,48.8,349252,1.0,12.0,49.5,312745,1.2,13.6,58.2,268487,1.1,14.4,2007-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-07,16037,monthly,55.5,316556,3.4,16.5,51.0,599685,4.3,15.8,50.8,363212,4.0,14.6,51.2,323839,3.5,15.7,60.0,276754,3.1,17.6,2007-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-08,16824,monthly,55.8,318654,0.7,16.0,50.8,598031,-0.3,14.1,50.7,362363,-0.2,13.4,51.7,327073,1.0,15.9,60.5,278979,0.8,16.9,2007-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-09,13748,monthly,56.0,319468,0.3,15.9,51.5,605304,1.2,14.4,50.9,363963,0.4,13.4,51.5,325516,-0.5,15.4,60.8,280503,0.5,17.0,2007-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-10,13890,monthly,56.0,319623,0.0,15.2,51.7,608568,0.5,15.0,50.9,363786,0.0,13.0,51.5,325563,0.0,14.8,60.8,280661,0.1,16.1,2007-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-11,13174,monthly,55.8,318648,-0.3,15.0,52.2,613619,0.8,15.6,51.4,367259,1.0,13.5,51.4,324864,-0.2,14.2,60.3,278401,-0.8,15.9,2007-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-12,9938,monthly,55.9,319019,0.1,12.7,51.3,604009,-1.6,12.3,51.0,364610,-0.7,11.3,51.3,324156,-0.2,11.9,60.8,280320,0.7,13.5,2007-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-01,8541,monthly,56.0,319663,0.2,11.6,52.3,615754,1.9,13.3,51.2,366349,0.5,10.8,51.6,326288,0.7,11.1,60.6,279541,-0.3,11.9,2008-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-02,8773,monthly,55.5,316563,-1.0,9.2,51.5,605380,-1.7,10.2,50.8,363454,-0.8,8.8,51.0,322334,-1.2,9.5,60.1,277202,-0.8,9.1,2008-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-03,8002,monthly,55.1,314319,-0.7,7.4,51.0,599896,-0.9,8.2,50.6,361748,-0.5,7.4,51.0,322522,0.1,7.5,59.4,273991,-1.2,7.2,2008-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-04,8074,monthly,55.2,315113,0.3,5.6,51.9,610558,1.8,8.8,50.6,361694,0.0,5.6,51.0,322397,0.0,5.0,59.6,274992,0.4,5.6,2008-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-05,8075,monthly,55.4,315988,0.3,4.4,51.2,602193,-1.4,6.7,50.8,362980,0.4,5.0,51.1,323041,0.2,4.5,59.9,276149,0.4,4.0,2008-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2008-06,7540,monthly,54.4,310568,-1.7,1.4,50.5,593982,-1.4,3.3,49.9,356911,-1.7,2.2,50.5,319333,-1.1,2.1,58.6,270489,-2.0,0.7,2008-06-01
